Title | Type | SJR | H index | Total Docs. (2023) | Total Docs. (3years) | Total Refs. (2023) | Total Cites (3years) | Citable Docs. (3years) | Cites / Doc. (2years) | Ref. / Doc. (2023) | %Female (2023) | 
343 | Leadership Quarterly | journal | 4.375 Q1 | 189 | 51 | 149 | 6494 | 1607 | 141 | 10.51 | 127.33 | 35.29 | 
344 | IEEE Transactions on Sustainable Energy | journal | 4.364 Q1 | 164 | 242 | 683 | 7033 | 7650 | 682 | 10.49 | 29.06 | 24.75 | 
345 | JAMA Internal Medicine | journal | 4.363 Q1 | 390 | 389 | 1371 | 5561 | 7459 | 447 | 4.70 | 14.30 | 41.86 | 
346 | Annual Review of Genomics and Human Genetics | journal | 4.361 Q1 | 129 | 17 | 70 | 2233 | 632 | 70 | 7.96 | 131.35 | 55.77 | 
347 | Biological Reviews | journal | 4.347 Q1 | 199 | 116 | 322 | 24582 | 4338 | 322 | 12.47 | 211.91 | 37.74 | 
348 | Quarterly Journal of the Royal Meteorological Society | journal | 4.347 Q1 | 166 | 202 | 668 | 11411 | 6093 | 664 | 3.10 | 56.49 | 26.78 | 
349 | International Journal of Robotics Research | journal | 4.346 Q1 | 190 | 92 | 216 | 5524 | 2531 | 208 | 9.24 | 60.04 | 17.11 | 
350 | SmartMat | journal | 4.332 Q1 | 33 | 63 | 96 | 5505 | 1532 | 90 | 15.65 | 87.38 | 35.19 |

Title | Type | SJR | H index | Total Docs. (2023) | Total Docs. (3years) | Total Refs. (2023) | Total Cites (3years) | Citable Docs. (3years) | Cites / Doc. (2years) | Ref. / Doc. (2023) | %Female (2023) | 
351 | Journal of the Royal Statistical Society. Series B: Statistical Methodology | journal | 4.330 Q1 | 151 | 87 | 195 | 2544 | 1078 | 169 | 2.56 | 29.24 | 23.29 | 
352 | Lancet Healthy Longevity, The | journal | 4.324 Q1 | 30 | 144 | 334 | 2888 | 1904 | 141 | 5.48 | 20.06 | 44.01 | 
353 | American Journal of Psychiatry | journal | 4.321 Q1 | 395 | 136 | 521 | 1850 | 4161 | 338 | 7.27 | 13.60 | 41.98 | 
