Title | Type | SJR | H index | Total Docs. (2023) | Total Docs. (3years) | Total Refs. (2023) | Total Cites (3years) | Citable Docs. (3years) | Cites / Doc. (2years) | Ref. / Doc. (2023) | %Female (2023) | 
448 | Business Strategy and the Environment | journal | 3.666 Q1 | 147 | 398 | 720 | 37890 | 13489 | 713 | 17.88 | 95.20 | 36.54 | 
449 | Leukemia | journal | 3.662 Q1 | 219 | 333 | 1125 | 11784 | 8477 | 975 | 7.59 | 35.39 | 43.05 | 
450 | Earth-Science Reviews | journal | 3.654 Q1 | 249 | 267 | 948 | 51596 | 11564 | 917 | 10.85 | 193.24 | 27.31 |

Title | Type | SJR | H index | Total Docs. (2023) | Total Docs. (3years) | Total Refs. (2023) | Total Cites (3years) | Citable Docs. (3years) | Cites / Doc. (2years) | Ref. / Doc. (2023) | %Female (2023) | 
451 | Computers and Education | journal | 3.651 Q1 | 232 | 163 | 597 | 13475 | 9892 | 596 | 12.14 | 82.67 | 47.96 | 
452 | Cement and Concrete Composites | journal | 3.650 Q1 | 212 | 398 | 1124 | 27325 | 13892 | 1124 | 11.88 | 68.66 | 29.51 | 
453 | Structural Equation Modeling | journal | 3.647 Q1 | 125 | 99 | 217 | 4796 | 1400 | 217 | 5.33 | 48.44 | 34.13 | 
454 | IEEE Transactions on Power Electronics | journal | 3.644 Q1 | 321 | 1383 | 3664 | 44124 | 31632 | 3657 | 8.17 | 31.90 | 23.22 | 
455 | Progress in Lipid Research | journal | 3.638 Q1 | 168 | 31 | 91 | 7594 | 1397 | 91 | 14.82 | 244.97 | 31.03 | 
456 | Strategic Entrepreneurship Journal | journal | 3.628 Q1 | 69 | 47 | 94 | 4956 | 859 | 86 | 6.38 | 105.45 | 29.20 | 
457 | Advanced Composites and Hybrid Materials | journal | 3.623 Q1 | 70 | 226 | 429 | 14940 | 9213 | 429 | 23.17 | 66.11 | 35.38 | 
458 | Health systems in transition | journal | 3.619 Q1 | 43 | 5 | 12 | 0 | 170 | 12 | 5.83 | 0.00 | 80.00 | 
459 | Plant Cell | journal | 3.616 Q1 | 397 | 305 | 950 | 18558 | 7236 | 767 | 7.19 | 60.85 | 38.33 | 
460 | Applied Physics Reviews | journal | 3.610 Q1 | 105 | 139 | 367 | 19919 | 5019 | 361 | 11.62 | 143.30 | 24.72 | 
461 | Journal of Personality and Social Psychology | journal | 3.610 Q1 | 434 | 93 | 438 | 8471 | 3295 | 436 | 5.79 | 91.09 | 47.95 | 
462 | Annals of Neurology | journal | 3.600 Q1 | 331 | 254 | 759 | 8990 | 5080 | 548 | 6.35 | 35.39 | 40.75 | 
463 | Harvard Kennedy School Misinformation Review | journal | 3.600 Q1 | 29 | 20 | 106 | 728 | 1040 | 92 | 4.94 | 36.40 | 45.90 | 
464 | Liver Cancer | journal | 3.599 Q1 | 56 | 62 | 169 | 2562 | 1854 | 139 | 11.14 | 41.32 | 26.84 | 
465 | Geometric and Functional Analysis | journal | 3.597 Q1 | 77 | 32 | 99 | 1409 | 270 | 99 | 2.51 | 44.03 | 12.31 | 
466 | Human Relations | journal | 3.597 Q1 | 162 | 112 | 228 | 9975 | 2031 | 221 | 8.20 | 89.06 | 48.87 | 
467 | Renewable and Sustainable Energy Reviews | journal | 3.596 Q1 | 421 | 737 | 2896 | 85801 | 54654 | 2882 | 18.47 | 116.42 | 28.59 | 
468 | Water Research | journal | 3.596 Q1 | 376 | 1287 | 3577 | 79587 | 47268 | 3559 | 12.46 | 61.84 | 38.46 | 
469 | Review of Economic Dynamics | journal | 3.582 Q1 | 73 | 102 | 178 | 4885 | 485 | 176 | 2.59 | 47.89 | 17.21 | 
470 | Energy Material Advances | journal | 3.563 Q1 | 20 | 42 | 61 | 3281 | 770 | 59 | 12.75 | 78.12 | 33.20 | 
471 | Sleep Medicine Reviews | journal | 3.561 Q1 | 181 | 103 | 337 | 7020 | 3631 | 267 | 10.66 | 68.16 | 48.40 | 
472 | Current Opinion in Cell Biology | journal | 3.559 Q1 | 278 | 87 | 296 | 5702 | 1978 | 282 | 5.99 | 65.54 | 49.51 | 
473 | IEEE Transactions on Image Processing | journal | 3.556 Q1 | 329 | 490 | 1983 | 29712 | 23452 | 1983 | 10.66 | 60.64 | 26.73 | 
474 | Energy Economics | journal | 3.555 Q1 | 210 | 649 | 1481 | 42483 | 21836 | 1474 | 14.67 | 65.46 | 30.53 | 
475 | Immunological Reviews | journal | 3.554 Q1 | 254 | 139 | 269 | 21462 | 2484 | 248 | 7.75 | 154.40 | 44.03 | 
476 | Optica | journal | 3.549 Q1 | 143 | 218 | 681 | 11181 | 6522 | 679 | 8.77 | 51.29 | 20.26 | 
477 | Journal of Consumer Psychology | journal | 3.531 Q1 | 139 | 80 | 164 | 5489 | 925 | 157 | 5.60 | 68.61 | 40.18 | 
478 | eClinicalMedicine | journal | 3.522 Q1 | 80 | 589 | 1447 | 25508 | 12571 | 1103 | 8.54 | 43.31 | 43.64 | 
479 | Research Synthesis Methods | journal | 3.520 Q1 | 68 | 72 | 199 | 2880 | 2148 | 182 | 10.46 | 40.00 | 44.83 | 
480 | Environmental Science & Technology | journal | 3.516 Q1 | 480 | 2060 | 5078 | 129054 | 59046 | 4905 | 10.65 | 62.65 | 39.36 | 
481 | Health Psychology Review | journal | 3.509 Q1 | 72 | 44 | 78 | 4587 | 904 | 70 | 13.30 | 104.25 | 61.71 | 
482 | Circulation: Heart Failure | journal | 3.505 Q1 | 136 | 139 | 520 | 3548 | 2769 | 390 | 4.35 | 25.53 | 33.11 | 
483 | Automatica | journal | 3.502 Q1 | 318 | 540 | 1699 | 17882 | 10654 | 1679 | 5.44 | 33.11 | 21.39 | 
484 | Energy and Environmental Materials | journal | 3.493 Q1 | 51 | 328 | 244 | 22718 | 3418 | 234 | 12.60 | 69.26 | 31.99 | 
485 | Sports Medicine | journal | 3.492 Q1 | 229 | 183 | 508 | 15849 | 4622 | 416 | 8.36 | 86.61 | 30.25 | 
486 | Comparative Political Studies | journal | 3.491 Q1 | 129 | 108 | 228 | 8464 | 1500 | 228 | 5.53 | 78.37 | 31.13 | 
487 | Journal of World Business | journal | 3.490 Q1 | 142 | 52 | 190 | 6142 | 2101 | 186 | 11.07 | 118.12 | 37.50 | 
488 | Nano Today | journal | 3.483 Q1 | 175 | 275 | 635 | 24164 | 9420 | 605 | 13.75 | 87.87 | 39.78 | 
489 | International Journal of Machine Tools and Manufacture | journal | 3.479 Q1 | 192 | 44 | 186 | 4083 | 2681 | 182 | 14.93 | 92.80 | 23.18 | 
490 | JAMA network open | journal | 3.478 Q1 | 128 | 2210 | 5808 | 57421 | 43126 | 4749 | 6.69 | 25.98 | 47.57 | 
491 | Wiley Interdisciplinary Reviews: Computational Molecular Science | journal | 3.473 Q1 | 105 | 48 | 162 | 8571 | 2884 | 160 | 19.44 | 178.56 | 29.81 | 
492 | Theoretical Economics | journal | 3.470 Q1 | 37 | 50 | 150 | 1750 | 240 | 150 | 1.22 | 35.00 | 7.53 | 
493 | Cancer Research | journal | 3.468 Q1 | 498 | 331 | 1449 | 13630 | 12019 | 1431 | 8.08 | 41.18 | 42.61 | 
494 | Bioactive Materials | journal | 3.466 Q1 | 90 | 432 | 867 | 38448 | 16381 | 863 | 18.50 | 89.00 | 38.34 | 
495 | Journal of Advanced Ceramics | journal | 3.457 Q1 | 64 | 164 | 320 | 10333 | 5321 | 320 | 17.90 | 63.01 | 34.47 | 
496 | Chem Catalysis | journal | 3.455 Q1 | 29 | 273 | 438 | 12894 | 2864 | 254 | 6.54 | 47.23 | 31.14 | 
497 | Soil Biology and Biochemistry | journal | 3.453 Q1 | 266 | 256 | 921 | 18891 | 9993 | 916 | 10.47 | 73.79 | 39.41 | 
498 | Stata Journal | journal | 3.453 Q1 | 104 | 55 | 153 | 946 | 886 | 138 | 2.99 | 17.20 | 18.18 | 
499 | Annals of Tourism Research | journal | 3.447 Q1 | 216 | 129 | 529 | 8173 | 6125 | 510 | 9.42 | 63.36 | 39.68 | 
500 | Advanced Drug Delivery Reviews | journal | 3.411 Q1 | 366 | 198 | 737 | 40639 | 12569 | 702 | 15.21 | 205.25 | 40.22 |
